title,tags
The American President,"comedi drama romanc white hous usa presid new love widow wildlif conserv widow u.s. presid andrew shepherd, one of the world' most power men, can have anyth he want -- and what he covet most is sydney ellen wade, a washington lobbyist. but shepherd' attempt at court her spark wild rumor and decim hi approv ratings. rob reiner michael dougla annett bene michael j. fox martin sheen"
Dracula: Dead and Loving It,"comedi horror dracula spoof when a lawyer show up at the vampire' doorstep, he fall prey to hi charm and join him in hi search for fresh blood. enter dr. van helsing, who may be the onli one abl to vanquish the count. mel brook lesli nielsen mel brook ami yasbeck peter macnicol"
Balto,"famili anim adventur wolf dog-sled race alaska dog goos bear attack dog sled frozen lake an outcast half-wolf risk hi life to prevent a deadli epidem from ravag nome, alaska. simon well kevin bacon bob hoskin bridget fonda jim cum"
Nixon,"histori drama usa presid presidenti elect waterg scandal biographi govern histor figur an all-star cast power thi epic look at american presid richard m. nixon, a man carri the fate of the world on hi shoulder while battl the self-destruct demand within. span hi troubl boyhood in california to the shock waterg scandal that would end hi presidency. oliv stone anthoni hopkin joan allen power booth ed harri"
Cutthroat Island,"action adventur exot island treasur map ship scalp pirat morgan adam and her slave, william shaw, are on a quest to recov the three portion of a treasur map. unfortunately, the final portion is held by her murder uncle, dawg. her crew is skeptic of her leadership abilities, so she must complet her quest befor they mutini against her. thi is made yet more difficult by the effort of the british crown to end her pirat raids. renni harlin geena davi matthew modin frank langella mauri chaykin"
Casino,drama crime poker drug abus 1970 overdos illeg prostitut the life of the gambl paradis – la vega – and it dark mafia underbelly. martin scorses robert de niro sharon stone joe pesci jame wood
Sense and Sensibility,"drama romanc bowl base on novel servant countri life jane austen inherit militari offic period drama rainstorm hors and carriag decorum rich mr. dashwood dies, leav hi second wife and her daughter poor by the rule of inheritance. two daughter are the titular opposites. ang lee kate winslet emma thompson hugh grant tom wilkinson"
Four Rooms,crime comedi hotel new year' eve witch bet hotel room sperm lo angel hoodlum woman director episod film it' ted the bellhop' first night on the job...and the hotel' veri unusu guest are about to place him in some outrag predicaments. it seem that thi evening' room servic is serv up one unbeliev happen after another. allison ander alexandr rockwel robert rodriguez quentin tarantino tim roth antonio bandera jennif beal madonna
Ace Ventura: When Nature Calls,"crime comedi adventur africa indigen human anim relationship bat summon from an ashram in tibet, ace find himself on a peril journey into the jungl of africa to find shikaka, the miss sacr anim of the friendli wachati tribe. he must accomplish thi befor the wed of the wachati' princess to the princ of the warrior wachootoos. if ace fails, the result will be a viciou tribal war. steve oedekerk jim carrey ian mcneic simon callow maynard eziashi"
Money Train,"action comedi crime brother brother relationship subway new york citi new york subway train robberi a veng new york transit cop decid to steal a trainload of subway fares; hi foster brother, a fellow cop, tri to protect him. joseph ruben wesley snipe woodi harrelson jennif lopez robert blake"
Get Shorty,"comedi thriller crime gambl miami base on novel job murder travel mafia money debt mobster busi hollywood gangster crime violenc drug produc con chili palmer is a miami mobster who get sent by hi boss, the psychopath ""bones"" barboni, to collect a bad debt from harri zimm, a hollywood produc who special in cheesi horror films. when chili meet harry' lead lady, the romant spark fly. after pitch hi own life stori as a movi idea, chili learn that be a mobster and be a hollywood produc realli aren't all that different. barri sonnenfeld john travolta gene hackman rene russo danni devito"
Copycat,drama thriller polic brutal psycholog polic oper polic protect serial killer psychologist cowardli an agoraphob psychologist and a femal detect must work togeth to take down a serial killer who copi serial killer from the past. jon amiel sigourney weaver holli hunter will patton william mcnamara
Assassins,"action adventur crime thriller competit assassin cia bank cat mexican standoff seattl hitman mission of murder hidden camera rivalri rescu shootout polic chase sniper rifl silenc doubl cross caribbean detroit michigan assassin robert rath arriv at a funer to kill a promin mobster, onli to wit a rival hire gun complet the job for him -- with grisli results. horrifi by the murder of innoc bystanders, rath decid to take one last job and then return to civilian life. but find hi way out of the world of contract kill grow ever more danger as rath fall for hi femal target and becom a mark man himself. richard donner sylvest stallon antonio bandera juliann moor anatoli davydov"
Powder,"drama fantasi scienc fiction thriller dead anim shot to death teenag boy held at gunpoint teacher student relationship albino faint jacob ladder christ allegori psionic power heal power look pale flicker light extrasensori percept harass by classmat who won't accept hi shock appearance, a shi young man known as ""powder"" struggl to fit in. but the cruel taunt stop when powder display a mysteri power that allow him to do incred things. thi phenomenon chang the live of all those around him in way they never could have imagined. victor salva mari steenburgen sean patrick flaneri lanc henriksen jeff goldblum"
Leaving Las Vegas,"drama romanc individu prostitut alcohol casino love at first sight lovesick film produc screenwrit hotel room die and death rage and hate unsoci alcohol lo angel alcohol abus attempt suicid ben sanderson, an alcohol hollywood screenwrit who lost everyth becaus of hi drinking, arriv in la vega to drink himself to death. there, he meet and form an uneasi friendship and non-interfer pact with prostitut sera. mike figgi nicola cage elisabeth shue julian sand richard lewi"
Othello,drama shakespear jealousi friend moor the evil iago pretend to be friend of othello in order to manipul him to serv hi own end in the film version of thi shakespear classic. oliv parker laurenc fishburn irèn jacob kenneth branagh nathaniel parker
Now and Then,"comedi drama famili 1970 femal friendship come of age gynecologist photocopi truth or dare woman director wax nostalg about the bittersweet passag from childhood to puberti in thi tender coming-of-ag tale, four childhood girlfriend -- teeny, chrissy, samantha and roberta -- recal the magic summer of 1970. dure their walk down memori lane, they reconcil experi with boys, secrets, bulli and more. lesli linka glatter christina ricci rosi o'donnel thora birch melani griffith"
Persuasion,"drama romanc captain napoleon war old flame admir thi film adapt of jane austen' last novel follow ann elliot, the daughter of a financi troubl aristocrat family, who is persuad to break her engag to frederick wentworth, a young sea captain of meager means. year later, money troubl forc anne' father to rent out the famili estat to admir croft, and ann is again thrown into compani with frederick -- who is now rich, success and perhap still in love with anne. roger michel amanda root ciarán hind susan fleetwood fiona shaw"
The City of Lost Children,"fantasi scienc fiction adventur clone dream island eye dystopia age friendship rescu children girl childhood a scientist in a surrealist societi kidnap children to steal their dreams, hope that they slow hi age process. jean-pierr jeunet marc caro ron perlman dominiqu pinon judith vittet daniel emilfork"
Shanghai Triad,drama crime servant cabaret shanghai diva uncl mistress umbrella a provinci boy relat to a shanghai crime famili is recruit by hi uncl into cosmopolitan shanghai in the 1930 to be a servant to a ganglord' mistress. zhang yimou gong li li bao-tian wang xiaoxiao li xuejian
Dangerous Minds,"drama crime rap music karat high school naval offic teacher amus park former marin louann johnson land a gig teach in a pilot program for bright but underachiev teen at a notori inner-c high school. after have a terribl first day, she decid she must throw decorum to the wind. when johnson return to the classroom, she doe so arm with a no-nonsens attitud inform by her militari train and a fearless determin to better the live of her student -- no matter what the cost. john n. smith michel pfeiffer georg dzundza courtney b. vanc robin bartlett"
Twelve Monkeys,"scienc fiction thriller mysteri schizophrenia philadelphia cassandra syndrom stockholm syndrom time travel post-apocalypt dystopia lethal viru monkey subterranean in the year 2035, convict jame cole reluctantli volunt to be sent back in time to discov the origin of a deadli viru that wipe out nearli all of the earth' popul and forc the survivor into underground communities. but when cole is mistakenli sent to 1990 instead of 1996, he' arrest and lock up in a mental hospital. there he meet psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famou viru expert, who may hold the key to the mysteri rogu group, the armi of the 12 monkeys, thought to be respons for unleash the killer disease. terri gilliam bruce willi madelein stow brad pitt christoph plummer"
Babe,"fantasi drama comedi famili sheep pig affect piglet heroism talk anim separ german shepherd grandson talk pig babe is a littl pig who doesn't quit know hi place in the world. with a bunch of odd friends, like ferdinand the duck who think he is a rooster and fli the dog he call mom, babe realiz that he ha the make to becom the greatest sheep pig of all time, and farmer hogget know it. with the help of the sheep dog babe learn that a pig can be anyth that he want to be. chri noonan christin cavanaugh miriam margoly danni mann hugo weav"
Carrington,"histori drama romanc england painter conscienti objector independ film soldier the stori of the relationship between painter dora carrington and author lytton strachey in a world war one england of cottag and countryside. although platon due to strachey' homosexuality, the relationship wa nevertheless a deep and complic one. when carrington did develop a more physic relationship with soldier ralph partridge, strachey wa abl to welcom him as a friend, although partridg remain somewhat uneasy, not so much with strachey' lifestyl and sexual orient as with the fact that he wa a conscienti objector. christoph hampton emma thompson jonathan pryce steven waddington samuel west"
Dead Man Walking,drama prison rape social depriv famili penalti death penalti despair death row begnadigung therapist self-discoveri prison cell court case death sentenc doom man sentenc lethal inject forgiv chariti merci petit rage and hate unsoci right and justic court electr chair cowardli a justic drama base on a true stori about a man on death row who in hi last day form a strong relationship with a nun who teach him forgiv and give him spiritu as she accompani him to hi execution. susan sarandon won an oscar for best femal actress for her convinc portray of sister helen prejean. tim robbin susan sarandon sean penn robert proski raymond j. barri
Across the Sea of Time,"adventur histori drama famili a young russian boy, thoma minton, travel to new york as a passeng on a russian freighter. close to elli island he get off and thu start hi journey to america the same way as all immigr in former times. thoma is search for the famili of one of hi ancestors, who had emigr decad ago, but onc sent a letter home togeth with a sampl of hi new profession: 3d-photography. the boy follow hi relative' trace by counter-check the old 3d-photograph of new york (use an antiqu viewer) with the same place and how they look today. thi way, the audienc get to see the big appl in former time as well as today. stephen low peter reznick john mcdonough avi hoffman matt malloy"
It Takes Two,"comedi famili romanc orphan ident twin ident 9-year-old from veri differ backgrounds: orphan amanda and wealthi alyssa meet at summer camp and decid to switch place -- and play matchmak between alyssa' dad, roger, and the kind social worker who care for amanda. andi tennant kirsti alley steve guttenberg ashley olsen mary-k olsen"
Clueless,"comedi drama romanc puberti high school make a match spoil child gay interest conflict woman director shallow, rich and social success cher is at the top of her beverli hill high school' peck scale. see herself as a matchmaker, cher first coax two teacher into date each other. embolden by her success, she decid to give hopelessli klutzi new student tai a makeover. when tai becom more popular than she is, cher realiz that her disapprov ex-stepbroth wa right about how misguid she wa -- and fall for him. ami heckerl alicia silverston stacey dash brittani murphi paul rudd"
"Cry, the Beloved Country",drama south africa a south-african preacher goe to search for hi wayward son who ha commit a crime in the big city. darrel jame roodt jame earl jone charl s. dutton jack robinson tsholofelo wechoemang
Richard III,drama war england shakespear kidnap murder king shakespeare' play transplant into a 1930 setting. richard loncrain ian mckellen annett bene jim broadbent kristin scott thoma
Dead Presidents,"action crime drama histori money loss of virgin hide in a dumpster merci kill armor truck crush by a car depict a heist of old bills, retir from circul and destin by the govern to be ""money to burn"". however, more broadly, it address the issu of black americans' involv in the vietnam war and their subsequ disillusion with progress in social issu and civil right back home in the unit states, dure the 1960s. albert hugh allen hugh larenz tate keith david chri tucker freddi rodríguez"
Restoration,"drama romanc jealousi medicin fountain court wealth spaniel glove an aspir young physician, robert merivel found himself in the servic of king charl ii and save the life of someon close to the king. merivel join the king' court and live the high life provid to someon of hi position. merivel is order to marri hi king' mistress in order to divert the queen suspicions. he is given one order by the king and that is not to fall in love. the situat worsen when merivel find himself in love with hi new wife. eventually, the king find out and reliev merivel of hi posit and wealth. hi fall from grace leav merivel where he first started. and through hi travel and reunion with an old friend, he rediscov hi love for true medicin and what it realli mean to be a physician. michael hoffman robert downey jr. meg ryan sam neill david thewli"
Mortal Kombat,"action fantasi martial art monster island gore sorcer tournament violenc base on video game hand to hand combat for nine gener an evil sorcer ha been victori in hand-to-hand battl against hi mortal enemies. if he win a tenth mortal kombat tournament, desol and evil will reign over the multivers forever. to save earth, three warrior must overcom seemingli insurmount odds, their own inner demons, and superhuman foe in thi action/adventur movi base on one of the most popular video game of all time. paul w.s. anderson christoph lambert robin shou linden ashbi cary-hiroyuki tagawa"
To Die For,"fantasi drama comedi thriller adulteri winter obsess televis new hampshir narcissist person disord susan want to work in televis and will therefor do anyth it takes, even if it mean kill her husband. a veri dark comedi from independ director gu van sant with a brilliant nicol kidman in the lead role. gu van sant nicol kidman matt dillon joaquin phoenix casey affleck"
How To Make An American Quilt,"drama romanc wed vow marriag propos marri coupl monogami advic marriag quilt love famili holiday extramarit affair grandmoth woman director soon-to-be-w graduat student finn dodd develop cold feet when she suspect her fiancé is cheat on her. in order to clear her head, finn visit her grandmother, hy, and great aunt, gladi joe cleary, in grasse, calif. there, finn learn that hy and gladi joe are member of a group of passion quilters, and over the cours of her visit she is regal with tale of love and life by women who have collect rich experi and much wisdom. jocelyn moorhous winona ryder ann bancroft ellen burstyn kate nelligan"
Se7en,"crime mysteri thriller self-fulfil propheci detect s.w.a.t. drug dealer eviscer lust and impuls rage and hate pride and vaniti immoder insomnia investig pension polic serial killer two homicid detect are on a desper hunt for a serial killer whose crime are base on the ""seven deadli sins"" in thi dark and haunt film that take viewer from the tortur remain of one victim to the next. the season det. sommerset research each sin in an effort to get insid the killer' mind, while hi novic partner, mills, scoff at hi effort to unravel the case. david fincher brad pitt morgan freeman gwyneth paltrow john c. mcginley"
Pocahontas,"adventur anim drama famili cultur clash settler forbidden love coloni music gold rush princess romanc nativ american anim virginia star cross lover refer to pizarro jamestown virginia pug dog cross cultur relationship musket anim tree indian chief base on myth or folklor 17th centuri shaman song indian vs. settler anim sidekick powhatan land claim histori come glorious to life in disney' epic anim tale about love and adventur in the new world. pocahonta is a nativ american woman whose father ha arrang for her to marri her village' best warrior. but a vision tell her chang is coming, and soon she come face to face with it in the form of capt. john smith. mike gabriel eric goldberg iren bedard mel gibson david ogden stier john kassir"
When Night Is Falling,"drama romanc professor lgbt woman director a prudish woman, work on tenur as a literaci professor at a larg urban university, find herself strang attract to a free-spirited, liber woman whom work at a local carniv which come to town. patricia rozema pascal bussièr rachael crawford henri czerni don mckellar"
The Usual Suspects,"drama crime thriller law rel theft crimin crimin mastermind hungarian sibl held in an l.a. interrog room, verbal kint attempt to convinc the fed that a mythic crime lord, keyser soze, not onli exists, but wa also respons for draw him and hi four partner into a multi-million dollar heist that end with an explos in san pedro harbor – leav few survivors. verbal lure hi interrog with an incred stori of the crime lord' almost supernatur prowess. bryan singer stephen baldwin gabriel byrn chazz palminteri kevin pollak"
Guardian Angel,"action thriller drama detect - turn - bodyguard cynthia mckay (cynthia rothrock) is hire by a psychot ici seductress, nina lindel (lydi denier), the same woman who kill mckay' lover month earlier. with vendetta in her heart mckay accompani the flamboyantli play woman through the glamour world of the super-rich as hi protector. in a uniqu role reversal, it is the woman protect the man from anoth woman, erupt into a deadli triangl of passion, suspens and action. richard w. munchkin cynthia rothrock marshal r. teagu daniel mcvicar lydi denier"
Mighty Aphrodite,"comedi romanc prostitut adopt adopt father childless look for birth parent adopt mother independ film illeg prostitut child when lenni and hi wife, amanda, adopt a baby, lenni realiz that hi son is a geniu and becom obsess with find the boy' biolog mother in hope that she will be brilliant too. but when he learn that max' mother is linda ash, a kindheart prostitut and porn star, lenni is determin to reform her immor lifestyle. a greek choru chime in to relat the plot to greek mytholog in thi quirki comedy. woodi allen woodi allen mira sorvino helena bonham carter f. murray abraham"
Lamerica,"drama foreign independ film fiore, an italian conman, arriv in post communist albania with gino, hi young apprentice, to set up a shoe factori that will never open. the con requir a nativ albanian, so they design spiro, an impoverish and confus former polit prison as chairman of the board. when fior return to itali to get govern fund for the project, spiro unexpectedli disappear and gino set out on a journey to find him. the search lead him to discov spiro' tragic person histori and wit albanian poverti firsthand. gianni amelio enrico lo verso michel placido piro milkani carmelo di mazzarelli"
The Big Green,"action adventur comedi famili sport kid and famili soccer woman director in a depress texa town, british foreign exchang teacher anna attempt to inject some life into her hopeless kid by introduc them to soccer. they'r terribl at first, but anna and her football-hero assist whip them into shape. as they work overtime, the pair help kid build their self-esteem and also get involv in solv famili squabbles. holli goldberg sloan steve guttenberg olivia d'abo jay o. sander john terri"
Georgia,"drama alcohol artist music drug band sadi look up to her older sister georgia, a success folk singer who' happili marri with children, but can't break out of the bar-band circuit and hit the big time she desper covets. it' in part due to her attract to drug and booze, and also to her own unwis choic in men. finally, though, sadie' achil heel is a rough, unlov voic veri differ than her sister' crowd-pleas singing. ulu grosbard jennif jason leigh mare winningham ted levin max perlich"
Kids of the Round Table,"set in modern times, alex find king arthur' sword excalibur and must prove himself worthi of it. robert tinnel johnni morina malcolm mcdowel maggi castl jame rae"
Home for the Holidays,"comedi drama romanc baltimor thanksgiv famili clan famili conflict gener conflict woman director after lose her job, make out with her soon to be ex-boss, and find out that her daughter plan to spend thanksgiv with her boyfriend, claudia larson ha to face spend the holiday with her family. she wonder if she can surviv their crazi antics. jodi foster holli hunter robert downey jr. ann bancroft charl durn"
The Postman,comedi drama romanc island letter postman fisherman poet simpl italian postman learn to love poetri while deliv mail to a famou poet; he use thi to woo local beauti beatrice. michael radford philipp noiret massimo troisi maria grazia cucinotta renato scarpa
The Confessional,"thriller drama mysteri the year is 1952, in quebec city. rachel (16), unmarri and pregnant, work in the church. fill with shame, she unburden her guilt to a young priest, under the confidenti of the confessional. in the present year of 1989, pierr lamontagn ha return to quebec to attend hi father' funeral. he meet up with hi adopt brother, marc, who ha begun question hi ident and ha embark on a quest for hi root that would lead them to the quebec of the 1950s. past and present converg in a complex web of intrigu where the answer to the mysteri lies. robert lepag lothair bluteau patrick goyett jean-loui millett kristin scott thoma"
The Indian in the Cupboard,adventur famili fantasi cupboard game puppet parallel world toy come to life a nine-year-old boy get a plastic indian and a cupboard for hi birthday and find himself involv in adventur when the indian come to life and befriend him. frank oz hal scardino litefoot lindsay crous richard jenkin
Eye for an Eye,"drama thriller rape gun self-defens griev parent it' fire and brimston time as griev mother karen mccann take justic into her own hand when a kangaroo court in lo angel fail to convict robert doob, the monster who rape and murder her 17-year-old daughter. john schlesing salli field kiefer sutherland ed harri beverli d'angelo"
Mr. Holland's Opus,"music drama famili compos mentor deaf-mut music apprentic privat life music disabl in 1965, passion musician glenn holland take a day job as a high school music teacher, convinc it' just a small obstacl on the road to hi true calling: write a histor opus. as the decad roll by with the composit unwritten but gener of student inspir through hi teaching, holland must redefin hi life' purpose. stephen herek richard dreyfuss glenn headli jay thoma olympia dukaki"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"comedi date slang hip-hop cousin parodi hood gang social satir racism gangster when ashtray (shawn wayans) move to south central l.a. to live with hi father (who appear to be the same age he is) and grandmoth (who like to talk tough and smoke reefer), he fall in with hi gang-bang cousin loc dog (marlon wayans), who along with the requisit pistol and uzi carri a thermo-nuclear warhead for self-defense. will ashtray be abl to keep live the straight life? pari barclay shawn wayan marlon wayan tracey cherel jone chri spencer"
Two If by Sea,"comedi romanc island paint thief seasick frank o'brien, a petti thief, and hi 7-year-long girlfriend roz want to put an end to their unsteadi lifestyl and just do that last job, which involv steal a valuabl painting. frank take roz to an island on the coast of new england, where he want to sell the paint and also hope that their sag relationship will get a posit push back up. not everyth goe as planned. bill bennett sandra bullock deni leari yaphet kotto stephen dillan"
Bio-Dome,"comedi biotop vegetarian pollut bud and doyl are two loser who are do noth with their lives. both of their girlfriend are activ involv in save the environment, but the two friend couldn't care less about save the earth. one day, when a group of scientist begin a mission to live insid a ""bio-dome"" for a year without outsid contact, bud and doyl mistakenli becom part of the project themselves. jason bloom pauli shore stephen baldwin joey lauren adam teresa hill"
Lawnmower Man 2: Beyond Cyberspace,"action scienc fiction hacker virtual realiti comput sword fight jobe is resuscit by jonathan walker. he want jobe to creat a special comput chip that would connect all the comput in the world into one network, which walker would control and use. but what walker doesn't realiz is a group of teenag hacker are on to him and out to stop hi plan. farhad mann patrick bergin matt frewer austin o'brien eli pouget"
Two Bits,"drama famili it' a hot summer day in 1933 in south philly, where 12-year old gennaro live with hi widow mom and hi ail grandpa, who sit outsid hold tight to hi last quarter, which he' promis to gennaro and which gennaro would like to have to buy a ticket to the plush new movi theater. but grandpa' not readi to pass on the quarter or pass on to hi final reward: he ha some unfinish busi with a woman from hi past, and he enlist gennaro to act as hi emissary. jame foley jerri baron al pacino mari elizabeth mastrantonio joe grifasi"
French Twist,"comedi romanc love triangl southern franc estat agent menag a troi van woman director after learn of her husband' infidelities, a housewif invit an itiner lesbian to move in with them. none of their live will ever be the same again. josian balasko victoria abril josian balasko alain chabat ticki holgado"
Friday,"comedi rap music parent child relationship rapper job craig and smokey are two guy in lo angel hang out on their porch on a friday afternoon, smoke and drinking, look for someth to do. f. gari gray ice cube chri tucker nia long tom lister jr."
From Dusk Till Dawn,"horror action thriller crime danc brother brother relationship sexual obsess showdown sheriff erotic nuditi bank robber vampir holi water sieg stripper priest explos extrem violenc bank robberi preacher hostag situat crucifix recreat vehicl blood spurt conveni store femal vampir mexican american border nightclub entertain boa constrictor seth gecko and hi younger brother richard are on the run after a bloodi bank robberi in texas. they escap across the border into mexico and will be home-fre the next morning, when they pay off the local kingpin. they just have to surviv 'from dusk till dawn' at the rendezv point, which turn out to be a hell of a strip joint. robert rodriguez georg clooney quentin tarantino harvey keitel juliett lewi"
Fair Game,"action thriller romanc bomb miami sex detect handcuff base on novel hostag fbi kidnap russian kgb chase sadism park garag pizza polic protect psychopath remak car crash conspiraci on the run fugit shootout gunfight sadist foot chase polic detect polic station car chase held at gunpoint fbi agent doubl cross cult film comput hacker machin gun swat team grenad launcher underwat scene rogu agent woman lawyer damsel in distress max kirkpatrick is a cop who protect kate mcquean, a civil law attorney, from a renegad kgb team out to termin her andrew sipe william baldwin cindi crawford steven berkoff christoph mcdonald"
Kicking and Screaming,"comedi drama romanc colleg after colleg graduation, grover' girlfriend jane tell him she' move to pragu to studi writing. grover declin to accompani her, decid instead to move in with sever friends, all of whom can't quit work up the inertia to escap their university' pull. nobodi want to make ani big decis that would radic alter hi life, yet none of them want to end up like chet, the profession student who tend bar and is in hi tenth year of univers studies. noah baumbach josh hamilton olivia d'abo carlo jacott eric stoltz"
Les Miserables,"drama histori pari nun boxer lawyer jewish in franc dure world war ii, a poor and illiter man, henri fortin (jean-paul belmondo), is introduc to victor hugo' classic novel le misérabl and begin to see parallel between the book and hi own life. claud lelouch jean-paul belmondo michel boujenah alessandra martin salomé lelouch"
Bed of Roses,"drama romanc florist famili relationship the seed of love are plant when lisa, a high-pow invest banker, receiv flower from a secret admirer. but when hi fairy-tal fantasi clash with her workahol ways, they soon find out that sometimes, it' harder than it seem for love to conquer all. michael goldenberg christian slater mari stuart masterson pamela adlon josh brolin"
Big Bully,"comedi famili bulli a writer return to hi hometown where he face the childhood nemesi whose life he ultim ruined, onli the bulli want to reliv their pain past by tortur him onc again. steve miner rick morani tom arnold juliann phillip carol kane"
Screamers,"horror scienc fiction man vs machin alien planet struggl for surviv (siriu 6b, year 2078) on a distant mine planet ravag by a decad of war, scientist have creat the perfect weapon: a blade-wielding, self-repl race of kill devic known as screamer design for one purpos onli -- to hunt down and destroy all enemi life forms. christian duguay peter weller roy dupui jennif rubin andrew lauer"
Nico Icon,"documentari a look into the mani live of christa päffgen, otherwis known as nico; from cuti german mädchen to the first of the supermodels, to glamor diva of the velvet underground, to cult item, junki and hag. mani face for the same woman, whom, you realize, just couldn't bring herself to care enough to live. susann oftering nico tina aumont jackson brown john cale"
The Crossing Guard,"drama thriller loss of daughter hit-and-run drive reveng suspens independ film tragedi after hi daughter die in a hit and run, freddi gale ha wait six year for john booth, the man responsible, to be releas from prison. on the day of release, gale visit booth and announc that he will kill him in one week. booth use hi time to tri and make peac with himself and hi entourage, and even find romance. gale, whose life is spiral down becaus of hi obsess toward booth, will bring himself on the veri edg of sanity. at he end of the week, both men will find themselv on a collis cours with each other. sean penn jack nicholson david mors anjelica huston robin wright"
The Juror,"drama thriller juror blackmail court case son trial courtroom with hi gangster boss on trial for murder, a mob thug known as ""the teacher"" tell anni laird she must talk her fellow juror into a not-guilti verdict, impli that he'll kill her son oliv if she fails. she manag to do this, but, when it becom clear that the mobster might want to silenc her for good, she send oliv abroad and tri to gather evid of the plot against her, set up a final showdown. brian gibson demi moor alec baldwin joseph gordon-levitt ann hech"
The White Balloon,famili drama fish money celebr goldfish sever peopl tri to take advantag of a littl girl' innoc to hustl money her mom gave to her to buy a goldfish with. jafar panahi aida mohammadkhani mohsen kafili fereshteh sadr orafaiy anna borkowska
Things to Do in Denver When You're Dead,drama crime father son relationship bounti hunter boat way of life coffin denver godmoth paranoia hitman friendship psychopath reveng murder independ film mafia diner blood gangster violenc illeg prostitut extramarit affair a mafia film in tarantino style with a star-stud cast. jimmy’ “the saint” gangster career ha final ended. yet now he find him self do favor for a wise godfath known as “the man with the plan.” gari fleder andi garcía christoph lloyd william forsyth bill nunn
Antonia's Line,"drama comedi suicid underdog free love philosophi rape mental disabl loss of mother villag life world war ii femin indian summer famili histori widow peasant villag mathemat freedom right and justic singl homosexu mother daughter relationship domest violenc univers woman director after world war ii, antonia and her daughter, danielle, go back to their dutch hometown, where antonia' late mother ha bestow a small farm upon her. there, antonia settl down and join a tightly-knit but unusu community. those around her includ quirki friend crook finger, would-b suitor ba and, eventu for antonia, a granddaught and great-granddaught who help creat a strong famili of empow women. marleen gorri willek van ammelrooy el dotterman dora van der groen veerl van overloop"
